old_symbol	new_symbol
C9ORF125	TMEM246
C9ORF68	SPATA6L
C9ORF82	CAAP1
C9ORF98	AK8
CA5BP	CA5BP1
CCDC144C	CCDC144CP
CCDC45	CEP95
CCDC48	EFCC1
CDRT15P	CDRT15P1
CEP170L	CEP170P1
CES8	CES4A
CHCHD8	COA4
COX4NB	EMC8
CROCCL1	CROCCP2
CROCCL2	CROCCP3
CSNK1A1P	CSNK1A1P1
EFHA1	MICU2
EMID2	COL26A1
EXOC3L	EXOC3L1
FAM100A	UBALD1
FAM106C	FAM106CP
FAM18B2	TVP23C
FAM22D	NUTM2D
FAM40A	STRIP1
FXC1	TIMM10B
GOLGA2B	GOLGA2P5
GPR44	PTGDR2
GUSBL2	GUSBP4
HMGB3L1	HMGB3P1
IL1F8	IL36B
KBTBD5	KLHL40
KIAA0090	EMC1
KIAA1609	TLDC1
LRRC37A4	LRRC37A4P
MCART3P	SLC25A51P1
MIR1244	MIR1244-1
MIR1269	MIR1269A
MIR1295	MIR1295A
MIR147	MIR147A
MOBKL1B	MOB1A
MOSC1	MARC1
NCRNA00164	ANKRD30BL
NCRNA00173	LINC00173
NCRNA00176	LINC00176
NCRNA00188	C17ORF76-AS1
ORC2L	ORC2
PMS2L1	PMS2P1
PMS2L11	PMS2P11
PPBPL2	PPBPP2
RAG1AP1	SLC50A1
ROD1	PTBP3
SC4MOL	MSMO1
SFRS11	SRSF11
SIGLECP3	SIGLEC17P
SUZ12P	SUZ12P1
TDGF3	TDGF1P3
TMEM188	CNEP1R1
TMEM93	EMC6
TREML3	TREML3P
TXNRD3IT1	TXNRD3NB
UBE2CBP	UBE3D
WDR69	DAW1
WHAMML1	WHAMMP3
WIT1	WT1-AS
ZNF137	ZNF137P
ZNF37B	ZNF37BP
ZNF642	ZFP69
ZNF833	ZNF833P
A3GALT2P	A3GALT2
ANKRD5	ANKEF1
C10ORF108	PRR26
C10ORF116	ADIRF
C11ORF20	TEX40
C11ORF75	SMCO4
C12ORF28	MYRFL
C12ORF70	SMCO2
C16ORF85	LINC00859
C17ORF61	TMEM256
C1ORF126	TMEM51-AS1
C1ORF81	MROH3P
C1ORF98	LINC00862
C21ORF77	LINC00846
C22ORF32	SMDT1
C2ORF18	SLC35F6
C3ORF45	LSMEM2
C3ORF74	LINC00696
C4ORF52	SMIM20
C6ORF108	DNPH1
C6ORF162	SMIM8
C6ORF228	SMIM13
C9ORF174	CCDC180
CCDC164	DRC1
CXORF69	SMIM10
FAM100B	UBALD2
FAM108A4P	ABHD17AP3
FAM108A5P	ABHD17AP4
FAM108A6P	ABHD17AP5
FAM108A7P	ABHD17AP6
FAM18A	TVP23A
FAM18B1	TVP23B
FAM54B	MTFR1L
FAM59B	GAREML
GHRLOS2	LINC00852
HEATR7B1	MROH2A
HEATR8	MROH7
IL29	IFNL1
LINC00281	FAM230C
MCIN	MCIDAS
NT5C3L	NT5C3B
O3FAR1	FFAR4
PLAC2	TINCR
PRAMEL	PRAMEF24P
SCAND2	SCAND2P
SKA2L	SKA2P1
TIGD1L2	GVQW1
TRIM77P	TRIM77
WDR45L	WDR45B
ZBTB12B	ZBTB12P1
ZNF66P	ZNF66
C20ORF164	ZSWIM3
NOT_CORRECTABLE	NOT CORRECTABLE
P53	TP53
ITGB1BP3	NMRK2
C20ORF19	PLK1S1
MAP3K7IP1	TAB1
C9ORF95	NMRK1
TADA2L	TADA2A
TUSC4	NPRL2
PFTK2	CDK15
C4ORF16	AP1AR
HISPPD1	PPIP5K2
C9ORF103	IDNK
TADA1L	TADA1
C5ORF33	NADKD1
CDC2L6	CDK19
CCRK	CDK20
MAP3K7IP3	TAB3
IL8RA	CXCR1
C11ORF17	AKIP1
CRKRS	CDK12
HISPPD2A	PPIP5K1
CDC2	CDK1
TADA3L	TADA3
MOBKL2A	MOB3A
IL8RB	CXCR2
C2ORF79	PTRHD1
MORG1	WDR83
SGK493	PKDCC
IKIP	IKBIP
FLJ40125	PPM1N
NIACR1	HCAR2
ABL-1	ABL1
FL-T3	FLT3
OPRS1	SIGMAR1
GPR109A	HCAR2
VEGF	VEGFA
MRC1L1	MRC1
A2LD1	GGACT
CDO-1	CDO1
GIG18	GIG18
DKFZP686P09201	DKFZP686P09201
GAD65	GAD65
P5CR2	PYCR2
BCR/ABL-FUSION	BCR ABL FUSION
DKFZP686P18130	DKFZP686P18130
RAS	KRAS
P16	CDKN2A
